施設区分,施設正式名称,郵便番号,所在地,電話番号,開設者名,管理者氏名,精神病床数,結核病床数,感染症病床数,一般病床数,療養病床数,内科,呼吸器内科,循環器内科,消化器内科,心臓内科,血液内科,気管食道内科,胃腸内科,腫瘍内科,糖尿病内科,代謝内科,内分泌内科,脂質代謝内科,腎臓内科,神経内科,心療内科,感染症内科,漢方内科,老年内科,女性内科,新生児内科,性感染症内科,内視鏡内科,人工透析内科,疼痛緩和内科,ペインクリニック内科,アレルギー疾患内科,内科（ペインクリニック）,内科（循環器）,内科（薬物療法）,内科（感染症）,内科（骨髄移植）,外科,呼吸器外科,心臓血管外科,心臓外科,消化器外科,乳腺外科,小児外科,気管食道外科,肛門外科,整形外科,脳神経外科,形成外科,美容外科,腫瘍外科,移植外科,頭頚部外科,胸部外科,腹部外科,肝臓外科,膵臓外科,胆のう外科,食道外科,胃腸外科,大腸外科,内視鏡外科,ペインクリニック外科,外科（内視鏡）,外科（がん）,精神科,アレルギー科,リウマチ科,小児科,皮膚科,泌尿器科,産婦人科,産科,婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,放射線診断科,放射線治療科,病理診断科,臨床検査科,救急科,児童精神科,老年精神科,気管食道・耳鼻咽喉科,腫瘍放射線科,男性泌尿器科,神経泌尿器科,小児泌尿器科,小児科（新生児）,泌尿器科（不妊治療）,泌尿器科（人工透析）,泌尿器科（生殖医療）,美容皮膚科,歯科,小児歯科,矯正歯科,歯科口腔外科,神経科,呼吸器科,消化器科,胃腸科,循環器科,皮膚泌尿器科,性病科,こう門科,気管食道科,麻酔科,診療科目その他,開設年月日
病院,熊本整形外科病院,862-0975,熊本市中央区新屋敷1丁目17番1号 ,096-366-3666,社会医療法人令和会,平川　敬,0,0,0,204,0,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,血管外科,令和 02年05月01日
病院,熊本市立熊本市民病院,862-0901,熊本市東区東町４丁目１番６０号 ,096-365-1711,熊本市,相良　孝昭,0,0,8,380,0,,○,○,○,,,,,,,○,,,○,,,○,,,,○,,,,,,,,,,,,,○,,,○,,○,,,○,○,,,,,,,,,,,,,,,,,,○,,,○,○,○,,○,○,○,○,○,○,,,○,,○,,,,,,,,,,,,,,,,○,,,,,,,,,,○,血液・腫瘍内科 乳腺・内分泌外科 小児心臓外科 脳神経内科 小児循環器内科,令和 01年10月01日
病院,上代成城病院,860-0068,熊本市西区上代２丁目２番２５号 ,096-356-1515,医療法人　山部会,杉之原　賢治,0,0,0,30,52,○,○,○,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緩和ケア内科 脳神経内科,平成 30年02月01日
病院,大腸肛門病センター高野病院,8620971,熊本市中央区大江３丁目２番５５号 ,096-320-6500,社会医療法人社団高野会,髙野　正太,0,0,0,166,0,○,,,○,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,○,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,肛門内科 大腸・肛門リハビリテーション科 緩和ケア内科,平成 29年08月01日
病院,くまもと森都総合病院,862-0971,熊本市中央区大江３丁目２番６５号 ,096-364-6000,医療法人　創起会,鈴島　仁,0,0,0,199,0,○,○,○,,,○,,,○,,,,,○,,,,,,,,,,○,,,,,,,,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,○,,○,○,,,○,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,肝臓・消化器内科 代謝・内分泌内科 リウマチ内科 腫瘍精神科,平成 29年04月01日
病院,森病院,861-4101,熊本市南区近見１丁目１６番１６号 ,096-354-0177,医療法人　森和会,森　健太,193,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 26年05月01日
病院,にしくまもと病院,861-4157,熊本市南区富合町古閑１０１２番地 ,096-358-1118,医療法人　相生会,山口　浩司,0,0,0,72,74,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,糖尿病・代謝内科 脳神経内科,平成 25年09月01日
病院,熊本託麻台リハビリテーション病院,862-0924,熊本市中央区帯山8丁目2-1 ,096-381-5111,医療法人　堀尾会,平田　好文,0,0,0,142,0,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小児リハビリテーション科 脳神経内科,平成 25年05月01日
病院,医療法人　憲和会　南部中央病院,861-4106,熊本市南区南高江６丁目２番２４号 ,096-357-3322,医療法人　憲和会,坂本　憲史,0,0,0,68,0,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,内視鏡内科,平成 24年08月01日
病院,平成とうや病院,862-0963,熊本市南区出仲間８丁目２－１５ ,096-379-0108,医療法人　清和会,米村　憲輔,0,0,0,104,56,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脳神経内科,平成 23年04月01日
病院,くまもと乳腺・胃腸外科病院,860-0812,熊本市中央区南熊本4丁目3-5 ,096-366-1155,医療法人社団　世安会,澤田　俊彦,0,0,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○,,○,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,乳腺内科 がん化学療法内科,平成 23年01月01日
病院,熊本脳神経外科病院,860-0811,熊本市中央区本荘６丁目１－２１ ,096-372-3911,医療法人　熊愛会,冬田　修平,0,0,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 22年07月01日
病院,熊本市立植木病院,861-0136,熊本市北区植木町岩野２８５－２９ ,096-273-2111,熊本市,掃本　誠治,0,0,0,102,39,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 22年03月23日
病院,伊東歯科口腔病院,860-0851,熊本市中央区子飼本町４番１４号 ,096-343-0377,医療法人　伊東会,伊東　隆三,0,0,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,○,,平成 21年05月01日
病院,十善病院,860-0812,熊本市中央区南熊本３丁目６－３４ ,096-372-2688,医療法人　朝日野会,山﨑　洋二,0,0,0,138,40,○,○,○,○,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,○,,,○,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小児リハビリテーション科 糖尿病・代謝内科,平成 20年12月01日
病院,保田窪整形外科病院,862-0926,熊本市東区保田窪５丁目７－２７ ,096-381-8711,医療法人　保田窪会,河野　正通,0,0,0,39,0,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,平成 19年10月01日
病院,イエズスの聖心病院,860-0079,熊本市西区上熊本2丁目11-24 ,096-352-7181,社会福祉法人　聖嬰会,木村　哲也,0,0,0,37,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緩和ケア内科,平成 16年04月01日
病院,嶋田病院,860-0017,熊本市中央区練兵町２４番地 ,096-324-3515,医療法人社団 如水会,池田　拡行,0,0,0,48,0,○,○,,,,,,,,,○,,,○,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 15年06月16日
病院,サキサカ病院,860-0004,熊本市中央区新町２丁目１０番２７号 ,096-326-0303,医療法人　匂坂会,匂坂　正明,0,0,0,0,59,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,,,,○,,,,,,,,,,,,,,○,,,,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,平成 15年06月01日
病院,熊本第一病院,862-0965,熊本市南区田迎町田井島２２４ ,096-370-7333,特定医療法人  萬生会,坂本　泰雄,0,0,0,60,65,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消化器・肝臓内科 血液・腫瘍内科 糖尿病･代謝内科 緩和ケア内科,平成 14年12月01日
病院,熊本泌尿器科病院,860-0004,熊本市中央区新町４丁目７－２２ ,096-354-6781,医療法人　野尻会,井　秀隆,0,0,0,28,24,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,男性性感染症外科 泌尿器科（人工透析）,平成 14年01月01日
病院,田上心臓リハビリテーション病院,860-0842,熊本市中央区南千反畑町１０－３ ,096-354-5885,医療法人社団  大玄会,田上  貴一,0,0,0,0,45,○,○,○,○,,,,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 14年01月01日
病院,北部病院,861-5515,熊本市北区四方寄町１２８１－３ ,096-245-1115,医療法人社団 原武会,渡邉　聖樹,0,0,0,0,50,○,,,,,,,,,,,,,,○,,,○,○,○,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,平成 12年10月01日
病院,くまもと成仁病院,861-8041,熊本市東区戸島２丁目3-15 ,096-380-7011,医療法人　成仁会,上原　昌哉,0,0,0,37,143,○,○,○,○,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,脳神経リハビリテーション科 整形リハビリテーション科 脳神経内科,平成 12年04月01日
病院,窪田病院,861-8038,熊本市東区長嶺東２丁目１１－９５ ,096-380-2038,医療法人　居中会,岡田　久則,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 11年05月01日
病院,本庄内科病院,862-0921,熊本市東区新外３丁目９番１号 ,096-368-2811,医療法人　弘生会,本庄　弘次,0,0,0,26,0,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 11年04月01日
病院,熊本中央病院,862-0965,熊本市南区田井島１丁目5-1 ,096-370-3111,国家公務員共済組合連合会,那須　二郎,0,0,0,361,0,○,○,○,○,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,○,○,○,,,,,,,,,,,,,,,,,○,,,○,○,○,,,,○,,,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,緩和ケア内科 乳腺・内分泌外科 糖尿病・内分泌・代謝内科 脳神経内科,平成 09年01月12日
病院,陣内病院,862-0976,熊本市中央区九品寺６丁目２－３ ,096-363-0011,医療法人社団　陣内会,陣内　秀昭,0,0,0,38,0,○,,○,○,,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 09年01月01日
病院,帯山中央病院,862-0924,熊本市中央区帯山４丁目５－１８ ,096-382-6111,医療法人　祐基会,板井　典朗,0,0,0,0,76,○,○,,○,,,,,,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,疼痛緩和外科,平成 08年06月01日
病院,済生会熊本病院,861-4193,熊本市南区近見５丁目３－１ ,096-351-8000,社会福祉法人　恩賜財団　済生会,中尾　浩一,0,0,0,400,0,○,○,○,○,,,,,○,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,○,,,○,○,,○,○,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,脳神経内科,平成 07年04月01日
病院,西村内科・脳神経外科病院,860-0812,熊本市中央区南熊本２丁目７－７ ,096-363-5111,医療法人　社団　知新会,濱武　諭,0,0,0,44,0,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年10月01日
病院,くまもと江津湖療育医療センター,862-0947,熊本市東区画図町大字重富５７５ ,096-370-0501,社会福祉法人　志友会,木下　裕俊,0,0,0,121,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年10月01日
病院,くまもと悠心病院,861-8030,熊本市東区小山町１８０８－２ ,096-389-1882,医療法人　明和会,宮内　大介,120,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年09月01日
病院,山口病院,860-0053,熊本市西区田崎３丁目１－１７ ,096-356-0666,医療法人　社団 芳仁会,山口　哲也,0,0,0,21,51,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,○,○,,,,,,,,,,,,,○,,,,,,,,,○,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,肛門内科,平成 06年01月01日
病院,鶴田病院,862-0925,熊本市東区保田窪本町１０－１１２ ,096-382-0500,医療法人社団　鶴友会,鶴田　豊,0,0,0,105,0,○,○,○,○,,,,,,,,,,○,○,,,,,,,,○,,,,,,,,,,○,,,,○,,,,,○,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,腎臓内科（人工透析） 緩和ケア内科,平成 05年12月01日
病院,自由が丘病院,861-8005,熊本市北区龍田陳内１丁目３番１０号 ,096-338-3111,医療法人社団　自由が丘,平原　信雄,135,0,0,0,0,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 05年05月01日
病院,川野病院,862-0971,熊本市中央区大江６丁目２５－１ ,096-366-3275,医療法人社団　杏風会,川野　尚,0,0,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,泌尿器科（男性不妊治療） 女性泌尿器科,平成 05年01月14日
病院,大塚病院,861-0106,熊本市北区植木町豊田６０３ ,096-272-0159,医療法人社団元照会,大塚　英二,0,0,0,32,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,○,,○,,平成 02年10月02日
病院,夢眠ホスピタルくまもと,861-4172,熊本市南区御幸笛田２丁目１５－６ ,096-378-0345,医療法人社団　御幸会,宮田　高雄,0,0,0,41,119,○,,○,○,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 01年08月01日
病院,西日本病院,861-8034,熊本市東区八反田３－２０－１ ,096-380-1111,医療法人財団　聖十字会,有馬　寿之,0,0,0,395,130,○,○,○,○,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○,○,,,,○,○,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,平成 01年05月01日
病院,比企病院,862-0913,熊本市東区尾ノ上３丁目１－３４ ,096-381-5151,医療法人社団　仁風会,比企　裕,0,0,0,0,44,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 63年10月01日
病院,悠愛病院,862-0945,熊本市東区画図町下無田１１３９ ,096-378-3355,医療法人社団　悠愛会,田代　尊久,0,0,0,0,56,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 63年06月01日
病院,整形外科　井上病院,860-0816,熊本市中央区本荘町６４４ ,096-364-5511,医療法人社団 藤浪会,井上　裕久,0,0,0,48,34,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 62年04月01日
